ts,air_temperature,atmospheric_pressure,relative_humidity
2025-01-01 00:00:00+00:00,13.6,983.3,76.0
2025-01-01 01:00:00+00:00,13.3,982.7,77.0
2025-01-01 02:00:00+00:00,13.1,982.2,78.0
2025-01-01 03:00:00+00:00,13.0,981.8,80.0
2025-01-01 04:00:00+00:00,12.8,981.7,81.0
2025-01-01 05:00:00+00:00,12.5,981.3,83.0
2025-01-01 06:00:00+00:00,12.6,981.3,79.0
2025-01-01 07:00:00+00:00,12.5,981.5,76.0
2025-01-01 08:00:00+00:00,12.3,981.7,75.0
2025-01-01 09:00:00+00:00,12.7,982.1,74.0
2025-01-01 10:00:00+00:00,14.7,982.9,64.0
2025-01-01 11:00:00+00:00,16.5,983.2,56.0
2025-01-01 12:00:00+00:00,17.9,982.8,46.0
2025-01-01 13:00:00+00:00,18.2,982.0,45.0
2025-01-01 14:00:00+00:00,18.3,981.0,44.0
2025-01-01 15:00:00+00:00,18.3,980.5,42.0
2025-01-01 16:00:00+00:00,18.0,980.3,43.0
2025-01-01 17:00:00+00:00,17.4,980.3,48.0
2025-01-01 18:00:00+00:00,16.5,979.9,46.0
2025-01-01 19:00:00+00:00,15.4,980.0,50.0
2025-01-01 20:00:00+00:00,14.5,980.3,54.0
2025-01-01 21:00:00+00:00,14.1,980.8,60.0
2025-01-01 22:00:00+00:00,13.9,981.1,67.0
2025-01-01 23:00:00+00:00,13.6,981.3,72.0
2024-12-26 00:00:00+00:00,15.9,975.0,85.0
2024-12-26 01:00:00+00:00,15.7,974.7,87.0
2024-12-26 02:00:00+00:00,15.5,974.5,89.0
2024-12-26 03:00:00+00:00,15.3,974.5,90.0
2024-12-26 04:00:00+00:00,15.0,974.5,91.0
2024-12-26 05:00:00+00:00,14.7,974.3,91.0
2024-12-26 06:00:00+00:00,14.0,974.3,93.0
2024-12-26 07:00:00+00:00,13.3,974.6,94.0
2024-12-26 08:00:00+00:00,12.9,975.2,94.0
2024-12-26 09:00:00+00:00,13.2,975.8,93.0
2024-12-26 10:00:00+00:00,15.2,976.7,88.0
2024-12-26 11:00:00+00:00,17.6,977.6,78.0
2024-12-26 12:00:00+00:00,19.3,977.5,63.0
2024-12-26 13:00:00+00:00,19.4,976.9,65.0
2024-12-26 14:00:00+00:00,18.8,976.2,69.0
2024-12-26 15:00:00+00:00,18.7,976.0,69.0
2024-12-26 16:00:00+00:00,18.5,976.0,69.0
2024-12-26 17:00:00+00:00,18.3,976.3,69.0
2024-12-26 18:00:00+00:00,17.5,976.4,75.0
2024-12-26 19:00:00+00:00,16.6,976.7,79.0
2024-12-26 20:00:00+00:00,15.7,977.2,86.0
2024-12-26 21:00:00+00:00,14.9,977.5,92.0
2024-12-26 22:00:00+00:00,14.3,977.9,94.0
