ts,air_temperature,atmospheric_pressure,relative_humidity
2025-03-11 00:00:00+00:00,10.8,924.7,85.0
2025-03-11 01:00:00+00:00,10.5,924.5,86.0
2025-03-11 02:00:00+00:00,10.0,923.9,81.0
2025-03-11 03:00:00+00:00,9.8,923.5,85.0
2025-03-11 04:00:00+00:00,9.7,923.2,91.0
2025-03-11 05:00:00+00:00,9.2,923.0,79.0
2025-03-11 06:00:00+00:00,8.8,923.2,65.0
2025-03-11 07:00:00+00:00,8.7,923.7,61.0
2025-03-11 08:00:00+00:00,8.8,924.0,60.0
2025-03-11 09:00:00+00:00,11.0,925.3,56.0
2025-03-11 10:00:00+00:00,14.0,926.5,69.0
2025-03-11 11:00:00+00:00,16.0,927.1,66.0
2025-03-11 12:00:00+00:00,16.7,927.1,61.0
2025-03-11 13:00:00+00:00,17.6,926.9,54.0
2025-03-11 14:00:00+00:00,18.0,926.2,50.0
2025-03-11 15:00:00+00:00,18.0,925.8,50.0
2025-03-11 16:00:00+00:00,17.6,925.4,53.0
2025-03-11 17:00:00+00:00,16.7,925.4,58.0
2025-03-11 18:00:00+00:00,15.5,925.8,67.0
2025-03-11 19:00:00+00:00,14.0,925.9,79.0
2025-03-11 20:00:00+00:00,12.9,925.9,88.0
2025-03-11 21:00:00+00:00,12.1,926.0,93.0
2025-03-11 22:00:00+00:00,11.4,925.9,95.0
2025-03-11 23:00:00+00:00,11.0,926.1,94.0
2025-03-12 00:00:00+00:00,10.9,925.7,84.0
2025-03-12 01:00:00+00:00,10.6,925.5,78.0
2025-03-12 02:00:00+00:00,10.4,924.7,83.0
2025-03-12 03:00:00+00:00,9.9,924.3,80.0
2025-03-12 04:00:00+00:00,9.6,923.8,78.0
2025-03-12 05:00:00+00:00,9.3,923.4,78.0
2025-03-12 06:00:00+00:00,9.1,923.7,73.0
2025-03-12 07:00:00+00:00,8.9,924.0,70.0
2025-03-12 08:00:00+00:00,9.1,924.5,69.0
2025-03-12 09:00:00+00:00,11.6,925.7,58.0
2025-03-12 10:00:00+00:00,15.0,926.8,62.0
2025-03-12 11:00:00+00:00,17.5,927.2,57.0
2025-03-12 12:00:00+00:00,18.8,927.2,57.0
2025-03-12 13:00:00+00:00,19.4,926.6,59.0
2025-03-12 14:00:00+00:00,19.9,925.8,55.0
2025-03-12 15:00:00+00:00,19.9,924.6,53.0
2025-03-12 16:00:00+00:00,19.8,923.8,56.0
2025-03-12 17:00:00+00:00,19.0,923.5,62.0
2025-03-12 18:00:00+00:00,17.7,923.3,70.0
2025-03-12 19:00:00+00:00,16.1,922.9,78.0
2025-03-12 20:00:00+00:00,14.8,922.8,81.0
2025-03-12 21:00:00+00:00,14.2,923.1,72.0
2025-03-12 22:00:00+00:00,13.4,923.5,87.0
2025-03-12 23:00:00+00:00,13.1,923.4,82.0
2025-03-13 00:00:00+00:00,12.8,922.8,79.0
2025-03-13 01:00:00+00:00,13.1,922.0,61.0
2025-03-13 02:00:00+00:00,13.1,921.5,61.0
2025-03-13 03:00:00+00:00,12.7,921.1,81.0
2025-03-13 04:00:00+00:00,12.4,920.4,79.0
2025-03-13 05:00:00+00:00,12.3,919.8,80.0
2025-03-13 06:00:00+00:00,12.2,920.1,70.0
2025-03-13 07:00:00+00:00,11.9,920.9,77.0
2025-03-13 08:00:00+00:00,12.1,921.4,68.0
2025-03-13 09:00:00+00:00,13.2,921.7,59.0
2025-03-13 10:00:00+00:00,14.5,922.0,52.0
2025-03-13 11:00:00+00:00,15.7,922.2,51.0
2025-03-13 12:00:00+00:00,17.1,922.6,48.0
2025-03-13 13:00:00+00:00,16.9,922.7,54.0
2025-03-13 14:00:00+00:00,16.0,921.7,58.0
2025-03-13 15:00:00+00:00,15.8,920.3,51.0
2025-03-13 16:00:00+00:00,15.7,920.1,57.0
2025-03-13 17:00:00+00:00,14.5,920.3,60.0
2025-03-13 18:00:00+00:00,13.6,920.3,69.0
2025-03-13 19:00:00+00:00,12.0,919.7,80.0
2025-03-13 20:00:00+00:00,11.5,920.4,76.0
2025-03-13 21:00:00+00:00,11.4,921.3,72.0
2025-03-13 22:00:00+00:00,10.5,921.0,85.0
